date,CG-OPEN,CG-CLOSE,CON-OPEN,CON-CLOSE
3/24/2015,272962,278072,661484,670232
3/25/2015,278072,283243,670602,680115
3/26/2015,283243,288048,680617,688879
3/27/2015,288048,291090,689271,694781
3/28/2015,291090,291928,694781,696731
3/29/2015,291928,293453,696731,700530
3/30/2015,293453,299296,700921,710774
3/31/2015,299296,304648,711308,720756
4/1/2015,304648,310006,721194,730278
4/2/2015,310006,314082,730635,737296
4/3/2015,,,,
4/4/2015,314082,314471,737296,737452
4/5/2015,314471,315326,737452,739466
4/6/2015,315326,320549,739742,749060
4/7/2015,320549,325914,749472,758974
4/8/2015,325914,331312,759457,768948
4/9/2015,331312,336071,769450,777828
4/10/2015,336071,339125,778123,783358
4/11/2015,339125,341928,783358,785554
4/12/2015,341928,343438,785554,791424
4/13/2015,343438,348926,791731,800490
4/14/2015,348926,354667,801077,810614
4/15/2015,354667,359874,810976,820132
4/16/2015,359874,364478,820745,829358
4/17/2015,364478,367358,829645,834474
4/18/2015,367358,368160,834474,836315
4/19/2015,368160,369496,836315,839752
4/20/2015,369496,374840,840049,849944
4/21/2015,374840,380650,850542,860712
4/22/2015,380650,386948,861315,872254
4/23/2015,386948,392321,873109,882764
4/24/2015,392321,395461,883203,888601
4/25/2015,395461,396273,888601,890702
4/26/2015,396273,398090,890702,894926
4/27/2015,398090,404352,895626,906226
4/28/2015,404352,408980,906954,915412
4/29/2015,408980,413051,915989,924624
4/30/2015,413051,417436,925778,934432
5/1/2015,417436,420259,935008,940326
5/2/2015,420259,421315,940326,942750
5/3/2015,421315,422958,942750,946692
5/4/2015,422958,426930,947362,954972
5/5/2015,426930,430047,955564,961812
5/6/2015,430047,432225,962810,966048
5/7/2015,432225,433160,966048,967794
5/8/2015,433160,433913,967794,969115
5/9/2015,,,,
5/10/2015,,,,
5/11/2015,433913,434685,969115,970162
5/12/2015,434685,435409,970162,971460
5/13/2015,435409,436058,971460,972484
5/14/2015,436058,437116,972484,974170
5/15/2015,437116,437687,974170,975199
5/16/2015,437687,437842,975199,975484
5/17/2015,437842,438110,975484,975811
5/18/2015,438110,439218,975811,977630
5/19/2015,439218,440302,977630,979342
5/20/2015,440302,441395,979342,981094
5/21/2015,441395,442312,981094,982638
5/22/2015,442312,442812,982638,983581
5/23/2015,442812,442976,983581,983826
5/24/2015,,,,
5/25/2015,,,,
5/26/2015,442976,444188,983826,985644
5/27/2015,444188,445220,985644,987258
5/28/2015,445220,446262,987258,988810
5/29/2015,446262,447028,988810,989958
5/30/2015,447028,447214,989958,990312
5/31/2015,447214,447454,990312,990766
6/1/2015,447454,448558,990766,992420
6/2/2015,448558,449680,992420,994250
6/3/2015,449680,450744,994250,995832
6/4/2015,450744,451756,995832,997670
6/5/2015,451756,452304,997670,998808
6/6/2015,452304,452510,998808,999082
6/7/2015,452510,452764,999082,999432
6/8/2015,452764,453920,999432,1001284
6/9/2015,453920,455100,1001284,1003144
6/10/2015,455100,456192,1003144,1004683
6/11/2015,456192,457386,1004683,1006642
6/12/2015,457386,458020,1006642,1007843
6/13/2015,458020,458222,1007843,1008122
6/14/2015,458222,458470,1008122,1008644
6/15/2015,458470,459608,1008644,1010502
6/16/2015,459608,460770,1010502,1012390
6/17/2015,460770,461830,1012390,1014444
6/18/2015,461830,462690,1014444,1016078
6/19/2015,462690,463214,1016078,1017124
6/20/2015,463214,463336,1017124,1017391
6/21/2015,463336,463506,1017391,1017612
6/22/2015,463506,464636,1017612,1019436
6/23/2015,464636,465730,1019436,1021164
6/24/2015,465730,466726,1021164,1022795
6/25/2015,466726,467670,1022795,1024362
6/26/2015,467670,468202,1024362,1025443
6/27/2015,468202,468354,1025443,1025684
6/28/2015,468354,468550,1025684,1026012
6/29/2015,468550,469614,1026012,1027714
6/30/2015,469614,470717,1027714,1029352
7/1/2015,470717,471748,1029352,1030792
7/2/2015,471748,472592,1030792,1031963
7/3/2015,,,,
7/4/2015,,,,
7/5/2015,472608,472774,1031963,1032204
7/6/2015,472774,473660,1032204,1033572
7/7/2015,473660,474708,1033572,1034998
7/8/2015,474708,475618,1034998,1036272
7/9/2015,475618,476480,1036272,1037526
7/10/2015,476480,476944,1037526,1038504
7/11/2015,476944,477132,1038504,1038746
7/12/2015,477132,477367,1038746,1039016
7/13/2015,477367,478342,1039016,1040444
7/14/2015,478342,479424,1040444,1041940
7/15/2015,479424,480470,1041940,1043480
7/16/2015,480470,481470,1043480,1044900
7/17/2015,481470,482041,1044900,1045877
7/18/2015,482041,482231,1045877,1046163
7/19/2015,482231,482510,1046163,1046522
7/20/2015,482510,483456,1046522,1047988
7/21/2015,483456,484590,1047988,1049454
7/22/2015,484590,485476,1049454,1050854
7/23/2015,485476,486302,1050854,1052202
7/24/2015,486302,487003,1052202,1053205
7/25/2015,,,,
7/26/2015,,,,
7/27/2015,487003,487657,1053205,1054071
7/28/2015,487657,488383,1054071,1055120
7/29/2015,488383,489020,1055120,1056062
7/30/2015,489020,489683,1056062,1057032
7/31/2015,489683,490156,1057032,1057792
8/1/2015,,,,
8/2/2015,,,,
8/3/2015,490156,490754,1057792,1058818
8/4/2015,490754,491320,1058818,1059788
8/5/2015,491320,491838,1059788,1060699
8/6/2015,491838,492482,1060699,1061654
8/7/2015,492482,493106,1061654,1062575
8/8/2015,,,,
8/9/2015,,,,
8/10/2015,493106,493880,1062575,1064272
8/11/2015,493880,495083,1064272,1065846
8/12/2015,495083,496126,1065846,1067460
8/13/2015,496126,497423,1067460,1069906
8/14/2015,497423,498809,1069906,1072254
8/15/2015,498809,499496,1072254,1073332
8/16/2015,499496,500733,1073332,1075753
8/17/2015,500733,507733,1075884,1086322
8/18/2015,507733,513195,1086466,1096124
8/19/2015,513195,518812,1096277,1105643
8/20/2015,518812,524565,1105773,1114297
8/21/2015,524565,527526,1114418,1119375
8/22/2015,527526,528118,1119375,1120651
8/23/2015,528118,529326,1120651,1123376
8/24/2015,529326,535422,1123522,1132472
8/25/2015,535422,540735,1132685,1141510
8/26/2015,540735,546228,1141759,1150830
8/27/2015,546228,551120,1151090,1159166
8/28/2015,551120,553949,1159291,1164011
8/29/2015,553949,554580,1164011,1165379
8/30/2015,554580,555755,1165379,1168151
8/31/2015,555755,561180,1168346,1177852
9/1/2015,561180,566610,1178101,1187214
9/2/2015,566610,572507,1187659,1196667
9/3/2015,572507,577064,1196999,1205125
9/4/2015,577064,580278,1205355,1209552
9/5/2015,580278,580584,1209552,1210209
9/6/2015,580584,580982,1210209,1210922
9/7/2015,,,,
9/8/2015,580982,586832,1210922,1220650
9/9/2015,586832,592888,1221099,1230847
9/10/2015,592888,598162,1231201,1240067
9/11/2015,598162,601350,1240247,1245483
9/12/2015,601350,602033,1245483,1247046
